Date,Vegetable,Actual,Predicted
2025-02-22,Brinjal,550.0,528.5636023019467
2025-02-23,Brinjal,550.0,524.5504246086482
2025-02-24,Brinjal,200.0,526.4919654226414
2025-02-25,Brinjal,150.0,205.5030501687251
2025-02-26,Brinjal,150.0,182.35878271057393
2025-02-27,Brinjal,150.0,185.35761007435863
2025-02-28,Brinjal,150.0,167.24669548137825
2025-03-01,Brinjal,150.0,159.49126180674358
2025-03-02,Brinjal,150.0,126.96844783644617
2025-03-03,Brinjal,120.0,120.37332716361286
2025-03-04,Brinjal,120.0,106.22179873789518
2025-03-05,Brinjal,120.0,116.87548364757188
2025-03-06,Brinjal,120.0,131.72470642857954
2025-03-07,Brinjal,120.0,132.35372295518724
2025-03-08,Brinjal,120.0,131.96911287335354
2025-03-09,Brinjal,120.0,129.40623151377716
2025-03-10,Brinjal,150.0,129.2062897708042
2025-03-11,Brinjal,150.0,158.13349662926362
2025-03-12,Brinjal,150.0,157.21881656369072
2025-03-13,Brinjal,150.0,158.57602878693035
2025-03-14,Brinjal,180.0,159.93725132106906
2025-03-15,Brinjal,180.0,188.05855606774455
2025-03-16,Brinjal,180.0,189.09579249781055
2025-03-17,Brinjal,150.0,189.44992319508384
2025-03-18,Brinjal,130.0,161.8645139547416
2025-03-19,Brinjal,150.0,144.67694675022025
2025-03-20,Brinjal,200.0,165.38314601920337
2025-03-21,Brinjal,200.0,209.32120170377274
2025-03-22,Brinjal,200.0,204.4015527225542
2025-03-23,Brinjal,200.0,202.1430729101355
2025-03-24,Brinjal,300.0,201.55662656527662
2025-03-25,Brinjal,300.0,297.4259239115096
2025-03-26,Brinjal,300.0,298.154484824414
2025-03-27,Brinjal,300.0,299.8410178716115
2025-03-28,Brinjal,300.0,302.7868061500205
2025-03-29,Brinjal,300.0,302.24527771076674
2025-03-30,Brinjal,300.0,308.7893403217641
2025-03-31,Brinjal,300.0,309.4602122057559
2025-04-01,Brinjal,500.0,305.48403839862476
2025-04-02,Brinjal,500.0,488.37535710576947
2025-04-03,Brinjal,500.0,474.208715052499
2025-04-04,Brinjal,500.0,475.2514333603817
2025-04-05,Brinjal,500.0,484.3122059719164
2025-04-06,Brinjal,500.0,486.87367908818715
2025-04-07,Brinjal,500.0,503.958036229802
2025-04-08,Brinjal,500.0,505.2665150915823
2025-04-09,Brinjal,500.0,497.2840456305179
2025-04-10,Brinjal,500.0,493.13740517704264
2025-04-11,Brinjal,500.0,485.19902467153764
2025-04-12,Brinjal,500.0,485.1969312195799
2025-04-13,Brinjal,500.0,485.19479480807126
2025-04-14,Brinjal,500.0,485.2085864761782
2025-04-15,Brinjal,500.0,485.2085864761782
2025-04-16,Brinjal,450.0,485.2280482326801
2025-04-17,Brinjal,450.0,438.98123472329047
2025-04-18,Brinjal,450.0,441.5364235269458
2025-04-19,Brinjal,450.0,441.28863149168745
2025-04-20,Brinjal,450.0,439.06591955155835
2025-04-21,Brinjal,400.0,438.37416303798796
2025-04-22,Brinjal,350.0,387.86779927695983
2025-04-23,Brinjal,350.0,343.83347223574617
2025-01-18,Snake gourd,150.0,152.70630643031828
2025-01-19,Snake gourd,150.0,154.7320924043375
2025-01-20,Snake gourd,150.0,158.7092354571971
2025-01-21,Snake gourd,150.0,157.8668175059212
2025-01-22,Snake gourd,150.0,154.27922220153008
2025-01-23,Snake gourd,200.0,151.7413571350599
2025-01-24,Snake gourd,230.0,204.59991210558042
2025-01-25,Snake gourd,230.0,229.02782185659387
2025-01-26,Snake gourd,230.0,229.01436634467058
2025-01-27,Snake gourd,180.0,226.90906821878022
2025-01-28,Snake gourd,180.0,184.69833323641785
