date,lad_price
2025-04-01,286.00
2025-02-01,286.00
2025-01-01,286.00
2024-12-05,286.00
2024-12-01,286.00
2024-11-01,283.00
2024-10-05,283.00
2024-10-01,283.00
2024-09-05,307.00
2024-09-01,307.00
2024-07-15,317.00
2024-07-01,317.00
2024-06-05,317.00
2024-06-01,317.00
2024-05-06,333.00
2024-05-01,333.00
2024-04-06,363.00
2024-04-01,363.00
2024-03-05,363.00
2024-02-01,363.00
2024-01-01,358.00
