Date,1 USD -> LKR,1 LKR -> USD
2024-07-12,303.3297,0.0033
2024-07-11,303.7568,0.0033
2024-07-10,304.2056,0.0033
2024-07-09,304.4737,0.0033
2024-07-08,304.8833,0.0033
2024-07-05,304.5391,0.0033
2024-07-04,304.0552,0.0033
2024-07-03,303.5236,0.0033
2024-07-02,305.8234,0.0033
2024-07-01,306.0182,0.0033
2024-06-28,305.7065,0.0033
2024-06-27,305.3403,0.0033
2024-06-26,305.4034,0.0033
2024-06-25,305.3208,0.0033
2024-06-24,305.4303,0.0033
2024-06-20,305.2787,0.0033
2024-06-19,304.4205,0.0033
2024-06-18,303.9500,0.0033
2024-06-14,303.8309,0.0033
2024-06-13,303.7380,0.0033
2024-06-12,303.4547,0.0033
2024-06-11,303.0310,0.0033
2024-06-10,302.6971,0.0033
2024-06-07,302.7081,0.0033
2024-06-06,302.2895,0.0033
2024-06-05,302.1706,0.0033
2024-06-04,301.9524,0.0033
2024-06-03,301.8946,0.0033
2024-05-31,301.8883,0.0033
2024-05-30,301.5100,0.0033
2024-05-29,301.2717,0.0033
2024-05-28,300.4217,0.0033
2024-05-27,299.9863,0.0033
2024-05-22,299.7458,0.0033
2024-05-21,299.8265,0.0033
2024-05-20,299.8755,0.0033
2024-05-17,301.3081,0.0033
2024-05-16,302.2475,0.0033
2024-05-15,300.8340,0.0033
2024-05-14,299.8957,0.0033
2024-05-13,298.7882,0.0033
2024-05-10,298.6317,0.0033
2024-05-09,298.7068,0.0033
2024-05-08,299.6247,0.0033
2024-05-07,297.7495,0.0034
2024-05-06,297.1335,0.0034
2024-05-03,296.7992,0.0034
2024-05-02,297.6020,0.0034
2024-04-30,296.8561,0.0034
2024-04-29,296.2033,0.0034
2024-04-26,297.1631,0.0034
2024-04-25,298.7161,0.0033
2024-04-24,301.4613,0.0033
2024-04-22,302.0000,0.0033
2024-04-19,301.2744,0.0033
2024-04-18,300.9111,0.0033
2024-04-17,299.8253,0.0033
2024-04-16,298.9094,0.0033
2024-04-15,298.4963,0.0034
2024-04-10,298.6751,0.0033
2024-04-09,298.9576,0.0033
2024-04-08,299.3771,0.0033
2024-04-05,299.8185,0.0033
2024-04-04,299.8867,0.0033
2024-04-03,299.9632,0.0033
2024-04-02,300.1378,0.0033
2024-04-01,300.4081,0.0033
2024-03-28,301.1837,0.0033
2024-03-27,302.0263,0.0033
2024-03-26,302.7510,0.0033
2024-03-25,303.5486,0.0033
2024-03-22,303.9446,0.0033
2024-03-21,304.3412,0.0033
2024-03-20,303.9755,0.0033
2024-03-19,304.6370,0.0033
2024-03-18,305.2394,0.0033
2024-03-15,305.6448,0.0033
2024-03-14,306.2613,0.0033
2024-03-13,306.5707,0.0033
2024-03-12,307.0298,0.0033
2024-03-11,307.5613,0.0033
2024-03-07,307.8186,0.0032
2024-03-06,307.9685,0.0032
2024-03-05,308.1077,0.0032
2024-03-04,309.1297,0.0032
2024-03-01,309.8946,0.0032
2024-02-29,310.1532,0.0032
2024-02-28,310.7494,0.0032
2024-02-27,310.7593,0.0032
2024-02-26,311.1185,0.0032
2024-02-22,311.6802,0.0032
2024-02-21,312.0305,0.0032
2024-02-20,312.2604,0.0032
2024-02-19,312.4391,0.0032
2024-02-16,312.8934,0.0032
2024-02-15,313.1705,0.0032
2024-02-14,313.4241,0.0032
2024-02-13,313.2487,0.0032
2024-02-12,313.0338,0.0032
2024-02-09,313.5869,0.0032
2024-02-08,313.2212,0.0032
2024-02-07,314.0343,0.0032
2024-02-06,312.2364,0.0032
2024-02-05,311.4132,0.0032
2024-02-02,314.0218,0.0032
2024-02-01,316.1275,0.0032
2024-01-31,317.4089,0.0032
2024-01-30,317.9432,0.0031
2024-01-29,317.5185,0.0031
2024-01-26,319.1591,0.0031
2024-01-24,319.9412,0.0031
2024-01-23,320.0536,0.0031
2024-01-22,320.5246,0.0031
2024-01-19,320.8826,0.0031
2024-01-18,321.2243,0.0031
2024-01-17,321.7534,0.0031
2024-01-16,322.2038,0.0031
2024-01-12,322.6884,0.0031
2024-01-11,322.8300,0.0031
2024-01-10,322.6356,0.0031
2024-01-09,322.4136,0.0031
2024-01-08,322.4406,0.0031
2024-01-05,322.4275,0.0031
2024-01-04,322.2375,0.0031
2024-01-03,321.1200,0.0031
2024-01-02,323.1861,0.0031
2024-01-01,323.9902,0.0031
